poll_time,event_slug,event_date
2026-08-10T13:40:51.484467+00:00,contender-series-4307,2026-08-11
2026-08-10T13:40:51.484467+00:00,contender-series-week-1-4306,2026-08-12
2026-08-10T13:40:51.484467+00:00,ksw-4308,2026-09-19
2026-08-10T13:40:51.484467+00:00,noche-ufc-4299,2026-08-13
2026-08-10T13:40:51.484467+00:00,rizin-4310,2026-08-11
2026-08-10T13:40:51.484467+00:00,ufc-330-4237,2026-08-15
2026-08-10T13:40:51.484467+00:00,ufc-331-4302,2026-09-20
2026-08-10T13:40:51.484467+00:00,ufc-331-4303,2026-09-10
2026-08-10T13:40:51.484467+00:00,ufc-shanghai-4257,2026-08-29
2026-08-11T19:10:16.687878+00:00,ufc-sacramento-4311,2026-08-23
2026-08-11T21:19:54.368130+00:00,one-fight-night-46-4312,2026-08-15
2026-08-12T20:54:43.115649+00:00,one-friday-fights-166-4313,2026-08-14
2026-08-12T22:04:44.740626+00:00,fury-fc-123-4314,2026-08-15
2026-08-12T22:35:23.816773+00:00,cffc-159-4315,2026-08-15
2026-08-12T22:50:39.010997+00:00,ufc-330-4297,2026-08-16
2026-08-12T23:50:52.968373+00:00,aca-206-4316,2026-08-15
2026-08-13T17:03:12.443286+00:00,oktagon-4317,2026-09-12
2026-08-14T08:21:52.502571+00:00,noche-ufc-4318,2026-09-13
2026-08-14T11:50:42.997325+00:00,dwcs-week-2-2026-4319,2026-08-19
2026-08-14T23:38:39.986262+00:00,ufc-sacramento-4320,2026-08-22
2026-08-16T04:42:01.414418+00:00,ufc-333-4321,2026-10-24
2026-08-16T14:50:54.296293+00:00,ufc-331-4302,2026-09-19
2026-08-18T20:52:26.271440+00:00,ufc-bjj-10-4322,2026-08-21
2026-08-18T22:51:18.123931+00:00,one-friday-fights-167-4323,2026-08-21
2026-08-19T02:02:39.721012+00:00,lfa-239-4324,2026-08-22
2026-08-19T20:02:46.255306+00:00,pfl-tampa-4325,2026-08-23
2026-08-20T08:00:00.793362+00:00,ufc-fight-night-4326,2026-09-05
2026-08-20T14:42:24.626229+00:00,bare-knuckle-fc-4327,2026-08-21
2026-08-20T19:00:45.319039+00:00,ufc-glendale-4328,2026-09-12
2026-08-20T19:21:30.632068+00:00,raf-12-4329,2026-08-23
2026-08-20T19:37:07.476971+00:00,ufc-332-4330,2026-10-04
2026-08-23T16:33:56.323342+00:00,dwcs-week-3-2026-4331,2026-08-25
2026-08-25T19:58:24.758560+00:00,road-to-ufc-4332,2026-08-28
