poll_time,pair,fight_slug,event_date,event_name,book,dec1,dec2,amer1,amer2,quote_ts,age_h
2026-08-11T19:38:29.582663+00:00,abe alsaghir|fabrizio escarrega,abe-alsaghir-vs-fabrizio-escarrega-79590,2026-08-11,Contender Series 2026: Week 1,BetOnline,2.1,1.6667,+110,-150,2026-08-10T19:24:36.761541+00:00,24.23
2026-08-11T19:38:29.582663+00:00,abe alsaghir|fabrizio escarrega,abe-alsaghir-vs-fabrizio-escarrega-79590,2026-08-11,Contender Series 2026: Week 1,Bookmaker,1.9709,1.7874,-103,-127,2026-08-10T19:15:34.980738+00:00,24.38
2026-08-11T19:38:29.582663+00:00,abe alsaghir|fabrizio escarrega,abe-alsaghir-vs-fabrizio-escarrega-79590,2026-08-11,Contender Series 2026: Week 1,Stake,1.9615,1.7519,-104,-133,2026-08-10T17:39:25.215565+00:00,25.98
2026-08-11T19:38:29.582663+00:00,ananias mulumba|tom pagliarulo,ananias-mulumba-vs-tom-pagliarulo-79652,2026-08-11,Contender Series 2026: Week 1,BetOnline,1.7407,1.9524,-135,-105,2026-08-10T19:46:39.093536+00:00,23.86
2026-08-11T19:38:29.582663+00:00,ananias mulumba|tom pagliarulo,ananias-mulumba-vs-tom-pagliarulo-79652,2026-08-11,Contender Series 2026: Week 1,Bookmaker,1.7194,2.09,-139,+109,2026-08-10T19:30:38.568092+00:00,24.13
2026-08-11T19:38:29.582663+00:00,ananias mulumba|tom pagliarulo,ananias-mulumba-vs-tom-pagliarulo-79652,2026-08-11,Contender Series 2026: Week 1,Stake,1.6494,2.12,-154,+112,2026-08-10T02:40:07.256045+00:00,40.97
2026-08-11T19:38:29.582663+00:00,anthony wint|matt adams,anthony-wint-vs-matt-adams-77973,2026-08-11,Contender Series 2026: Week 1,BetOnline,1.1111,6.0,-900,+500,2026-08-10T15:15:54.070704+00:00,28.38
2026-08-11T19:38:29.582663+00:00,anthony wint|matt adams,anthony-wint-vs-matt-adams-77973,2026-08-11,Contender Series 2026: Week 1,Bookmaker,1.1176,6.24,-850,+524,2026-08-09T15:15:28.632347+00:00,52.38
2026-08-11T19:38:29.582663+00:00,anthony wint|matt adams,anthony-wint-vs-matt-adams-77973,2026-08-11,Contender Series 2026: Week 1,Stake,1.08,6.6,-1250,+560,2026-08-10T02:40:07.349138+00:00,40.97
2026-08-11T19:38:29.582663+00:00,bilal hasan|mridul saikia,bilal-hasan-vs-mridul-saikia-77936,2026-08-11,Contender Series 2026: Week 1,BetOnline,1.05,8.0,-2000,+700,2026-08-07T22:17:23.423885+00:00,93.35
2026-08-11T19:38:29.582663+00:00,bilal hasan|mridul saikia,bilal-hasan-vs-mridul-saikia-77936,2026-08-11,Contender Series 2026: Week 1,Bookmaker,1.0488,9.85,-2050,+885,2026-08-09T19:00:31.483941+00:00,48.63
2026-08-11T19:38:29.582663+00:00,bilal hasan|mridul saikia,bilal-hasan-vs-mridul-saikia-77936,2026-08-11,Contender Series 2026: Week 1,Stake,1.04,8.6,-2500,+760,2026-08-10T02:40:07.294991+00:00,40.97
2026-08-11T19:38:29.582663+00:00,jonathan kunneman|joseph kropschot,joseph-kropschot-vs-jonathan-kunneman-77935,2026-08-11,Contender Series 2026: Week 1,BetOnline,1.3922,3.11,-255,+211,2026-08-10T22:47:33.416022+00:00,20.85
2026-08-11T19:38:29.582663+00:00,jonathan kunneman|joseph kropschot,joseph-kropschot-vs-jonathan-kunneman-77935,2026-08-11,Contender Series 2026: Week 1,Bookmaker,1.4082,2.9,-245,+190,2026-08-10T20:15:29.550524+00:00,23.38
2026-08-11T19:38:29.582663+00:00,jonathan kunneman|joseph kropschot,joseph-kropschot-vs-jonathan-kunneman-77935,2026-08-11,Contender Series 2026: Week 1,Stake,1.3003,3.2,-333,+220,2026-08-10T21:41:48.669703+00:00,21.94
2026-08-11T19:38:29.582663+00:00,charles johnson|jose ochoa,charles-johnson-vs-jose-ochoa-80020,2026-08-15,UFC 330: Makhachev vs. Machado Garry,Bet105,4.37,1.2353,+337,-425,2026-08-10T18:26:16.239675+00:00,25.2
2026-08-11T19:38:29.582663+00:00,charles johnson|jose ochoa,charles-johnson-vs-jose-ochoa-80020,2026-08-15,UFC 330: Makhachev vs. Machado Garry,BetOnline,4.3,1.2381,+330,-420,2026-08-10T23:01:16.231980+00:00,20.62
2026-08-11T19:38:29.582663+00:00,charles johnson|jose ochoa,charles-johnson-vs-jose-ochoa-80020,2026-08-15,UFC 330: Makhachev vs. Machado Garry,Bookmaker,4.0,1.25,+300,-400,2026-08-10T23:45:43.929090+00:00,19.88
2026-08-11T19:38:29.582663+00:00,charles johnson|jose ochoa,charles-johnson-vs-jose-ochoa-80020,2026-08-15,UFC 330: Makhachev vs. Machado Garry,Pinnacle,4.37,1.2353,+337,-425,2026-08-10T18:27:57.129284+00:00,25.18
2026-08-11T19:38:29.582663+00:00,charles johnson|jose ochoa,charles-johnson-vs-jose-ochoa-80020,2026-08-15,UFC 330: Makhachev vs. Machado Garry,Stake,4.3,1.2398,+330,-417,2026-08-10T20:38:56.583031+00:00,22.99
2026-08-11T19:38:29.582663+00:00,chidi njokuani|joel alvarez,joel-alvarez-vs-chidi-njokuani-80608,2026-08-15,UFC 330: Makhachev vs. Machado Garry,BetOnline,3.07,1.4,+207,-250,2026-08-10T23:01:16.359997+00:00,20.62
2026-08-11T19:38:29.582663+00:00,chidi njokuani|joel alvarez,joel-alvarez-vs-chidi-njokuani-80608,2026-08-15,UFC 330: Makhachev vs. Machado Garry,Bookmaker,3.05,1.3846,+205,-260,2026-08-10T23:45:43.997334+00:00,19.88
2026-08-11T19:38:29.582663+00:00,chidi njokuani|joel alvarez,joel-alvarez-vs-chidi-njokuani-80608,2026-08-15,UFC 330: Makhachev vs. Machado Garry,Stake,3.1,1.3906,+210,-256,2026-08-10T20:38:56.576662+00:00,22.99
2026-08-11T19:38:29.582663+00:00,donte johnson|eric mcconico,donte-johnson-vs-eric-mcconico-80309,2026-08-15,UFC 330: Makhachev vs. Machado Garry,Bet105,1.4739,2.78,-211,+178,2026-08-10T15:13:40.082881+00:00,28.41
