poll_time,event_pk,pair,fight_slug,event_date,event_name,promotion,side1_key,side2_key,book,book_role,dec1,dec2,amer1,amer2,source_offer_ts,source_change_age_h,cycle_status
2026-09-01T00:50:21.937991+00:00,9110,adam darby|patrick rivera,adam-darby-vs-patrick-rivera-80335,2026-09-01,Dana White's Contender Series: Contender Series 2026: Week 4,dwcs,adam darby,patrick rivera,Polymarket,exchange,1.2817,4.3500,-355,+335,2026-08-31T23:09:53.543254+00:00,1.67,complete
2026-09-01T00:50:21.937991+00:00,9110,adam darby|patrick rivera,adam-darby-vs-patrick-rivera-80335,2026-09-01,Dana White's Contender Series: Contender Series 2026: Week 4,dwcs,adam darby,patrick rivera,BetMGM,sportsbook,1.2667,4.0000,-375,+300,2026-08-31T22:37:41.780115+00:00,2.21,complete
2026-09-01T00:50:21.937991+00:00,9110,adam darby|patrick rivera,adam-darby-vs-patrick-rivera-80335,2026-09-01,Dana White's Contender Series: Contender Series 2026: Week 4,dwcs,adam darby,patrick rivera,ReBet,sportsbook,1.2632,3.3400,-380,+234,2026-08-31T20:02:19.774943+00:00,4.8,complete
2026-09-01T00:50:21.937991+00:00,9110,adam darby|patrick rivera,adam-darby-vs-patrick-rivera-80335,2026-09-01,Dana White's Contender Series: Contender Series 2026: Week 4,dwcs,adam darby,patrick rivera,Circa,sportsbook,1.2381,4.4000,-420,+340,2026-08-31T19:42:31.119756+00:00,5.13,complete
2026-09-01T00:50:21.937991+00:00,9110,adam darby|patrick rivera,adam-darby-vs-patrick-rivera-80335,2026-09-01,Dana White's Contender Series: Contender Series 2026: Week 4,dwcs,adam darby,patrick rivera,Bookmaker,sportsbook,1.2469,3.9500,-405,+295,2026-08-31T15:01:14.145239+00:00,9.82,complete
2026-09-01T00:50:21.937991+00:00,9110,adam darby|patrick rivera,adam-darby-vs-patrick-rivera-80335,2026-09-01,Dana White's Contender Series: Contender Series 2026: Week 4,dwcs,adam darby,patrick rivera,BetAnything,sportsbook,1.2381,3.7000,-420,+270,2026-08-31T22:39:28.553146+00:00,2.18,complete
2026-09-01T00:50:21.937991+00:00,9110,adam darby|patrick rivera,adam-darby-vs-patrick-rivera-80335,2026-09-01,Dana White's Contender Series: Contender Series 2026: Week 4,dwcs,adam darby,patrick rivera,Betway,sportsbook,1.2500,4.0000,-400,+300,2026-08-31T10:16:16.598381+00:00,14.57,complete
2026-09-01T00:50:21.937991+00:00,9110,adam darby|patrick rivera,adam-darby-vs-patrick-rivera-80335,2026-09-01,Dana White's Contender Series: Contender Series 2026: Week 4,dwcs,adam darby,patrick rivera,ProphetX,exchange,1.2500,4.2000,-400,+320,2026-08-31T23:32:20.210020+00:00,1.3,complete
2026-09-01T00:50:21.937991+00:00,9110,adam darby|patrick rivera,adam-darby-vs-patrick-rivera-80335,2026-09-01,Dana White's Contender Series: Contender Series 2026: Week 4,dwcs,adam darby,patrick rivera,Caesars,sportsbook,1.2222,4.0000,-450,+300,2026-08-31T23:05:15.269855+00:00,1.75,complete
2026-09-01T00:50:21.937991+00:00,9110,adam darby|patrick rivera,adam-darby-vs-patrick-rivera-80335,2026-09-01,Dana White's Contender Series: Contender Series 2026: Week 4,dwcs,adam darby,patrick rivera,Bet105,sportsbook,1.2262,4.4900,-442,+349,2026-09-01T00:24:00.746209+00:00,0.44,complete
