poll_time,event_pk,pair,fight_slug,event_date,event_name,promotion,side1_key,side2_key,book,book_role,dec1,dec2,amer1,amer2,source_offer_ts,source_change_age_h,cycle_status,offer_id,offer_category,offer_status,disabled
2026-09-22T20:46:09.667790+00:00,9107,norbert novenyi|theo haig,norbert-novenyi-vs-theo-haig-81116,2026-09-22,Contender Series 2026: Week 7,dwcs,norbert novenyi,theo haig,Caesars,sportsbook,1.2000,4.8000,-500,+380,2026-09-22T20:05:22.611269+00:00,0.68,complete,T2ZmZXJOb2RlOjEwMzczODQwNg==,A_1,O,0
2026-09-22T20:46:09.667790+00:00,9107,norbert novenyi|theo haig,norbert-novenyi-vs-theo-haig-81116,2026-09-22,Contender Series 2026: Week 7,dwcs,norbert novenyi,theo haig,Bet365,sportsbook,1.1901,4.5000,-526,+350,2026-09-22T19:02:40.390858+00:00,1.72,complete,T2ZmZXJOb2RlOjEwMzc0MDQ3Ng==,A_1,O,0
2026-09-22T20:46:09.667790+00:00,9107,norbert novenyi|theo haig,norbert-novenyi-vs-theo-haig-81116,2026-09-22,Contender Series 2026: Week 7,dwcs,norbert novenyi,theo haig,Circa,sportsbook,1.2128,4.2000,-470,+320,2026-09-22T20:31:43.683423+00:00,0.24,complete,T2ZmZXJOb2RlOjEwMzc0MDQzOA==,A_1,O,0
2026-09-22T20:46:09.667790+00:00,9107,norbert novenyi|theo haig,norbert-novenyi-vs-theo-haig-81116,2026-09-22,Contender Series 2026: Week 7,dwcs,norbert novenyi,theo haig,Stake,sportsbook,1.1799,4.4000,-556,+340,2026-09-22T19:26:28.965295+00:00,1.33,complete,T2ZmZXJOb2RlOjEwMzczODYzNA==,A_1,O,0
2026-09-22T20:46:09.667790+00:00,9107,norbert novenyi|theo haig,norbert-novenyi-vs-theo-haig-81116,2026-09-22,Contender Series 2026: Week 7,dwcs,norbert novenyi,theo haig,Pinnacle,sportsbook,1.1883,5.0800,-531,+408,2026-09-22T20:21:02.943029+00:00,0.42,complete,T2ZmZXJOb2RlOjEwMzczOTQyMg==,A_1,O,0
2026-09-22T20:46:09.667790+00:00,9107,norbert novenyi|theo haig,norbert-novenyi-vs-theo-haig-81116,2026-09-22,Contender Series 2026: Week 7,dwcs,norbert novenyi,theo haig,4casters,exchange,1.1757,4.4800,-569,+348,2026-09-22T20:16:10.966996+00:00,0.5,complete,T2ZmZXJOb2RlOjEwMzczOTMzMw==,A_1,O,0
2026-09-22T20:46:09.667790+00:00,9107,norbert novenyi|theo haig,norbert-novenyi-vs-theo-haig-81116,2026-09-22,Contender Series 2026: Week 7,dwcs,norbert novenyi,theo haig,BetAnything,sportsbook,1.2128,3.9500,-470,+295,2026-09-22T20:29:22.721775+00:00,0.28,complete,T2ZmZXJOb2RlOjEwMzczOTU5OA==,A_1,O,0
2026-09-22T20:46:09.667790+00:00,9107,norbert novenyi|theo haig,norbert-novenyi-vs-theo-haig-81116,2026-09-22,Contender Series 2026: Week 7,dwcs,norbert novenyi,theo haig,BetUS,sportsbook,1.2000,4.5000,-500,+350,2026-09-22T20:30:42.753708+00:00,0.26,complete,T2ZmZXJOb2RlOjEwMzczOTU1NA==,A_1,O,0
2026-09-22T20:46:09.667790+00:00,9107,norbert novenyi|theo haig,norbert-novenyi-vs-theo-haig-81116,2026-09-22,Contender Series 2026: Week 7,dwcs,norbert novenyi,theo haig,ProphetX,exchange,1.1923,4.5000,-520,+350,2026-09-22T20:16:41.335590+00:00,0.49,complete,T2ZmZXJOb2RlOjEwMzczOTQ5Ng==,A_1,O,0
2026-09-22T20:46:09.667790+00:00,9107,norbert novenyi|theo haig,norbert-novenyi-vs-theo-haig-81116,2026-09-22,Contender Series 2026: Week 7,dwcs,norbert novenyi,theo haig,YouWager,sportsbook,1.2128,4.7000,-470,+370,2026-09-22T20:45:38.864519+00:00,0.01,complete,T2ZmZXJOb2RlOjEwMzczOTQ4MA==,A_1,O,0
