poll_time,event_id,pair,event_date,event_name,start_time,book,book_role,side1_key,side2_key,dec1,dec2,amer1,amer2,cycle_status
2026-08-13T18:59:04.564238+00:00,1327994,jeremiah wells|myktybek orolbay,2026-08-15,Jeremiah Wells vs Myktybek Orolbay,2026-08-15T21:30:00Z,MiseOJeu,sportsbook,jeremiah wells,myktybek orolbay,7.0000,1.1000,+600,-1000,complete
2026-08-13T18:59:04.564238+00:00,1325831,neil magny|ramiz brahimaj,2026-08-15,Neil Magny vs Ramiz Brahimaj,2026-08-15T21:50:00Z,MiseOJeu,sportsbook,neil magny,ramiz brahimaj,2.2000,1.6900,+120,-145,complete
2026-08-13T18:59:04.564238+00:00,1330361,lucas fernando|rafael tobias,2026-08-15,Rafael Tobias vs Lucas Fernando,2026-08-15T22:10:00Z,MiseOJeu,sportsbook,lucas fernando,rafael tobias,1.3600,3.2500,-278,+225,complete
2026-08-13T18:59:04.564238+00:00,1325832,tresean gore|vicente luque,2026-08-15,Vicente Luque vs Tresean Gore,2026-08-15T23:00:00Z,MiseOJeu,sportsbook,tresean gore,vicente luque,1.8300,1.9800,-120,-102,complete
2026-08-13T18:59:04.564238+00:00,1325836,donte johnson|eric mcconico,2026-08-15,Donte Johnson vs Eric McConico,2026-08-15T23:20:00Z,MiseOJeu,sportsbook,donte johnson,eric mcconico,1.3800,3.0000,-263,+200,complete
2026-08-13T18:59:04.564238+00:00,1338020,charles johnson|eduardo henrique da silva dos santos,2026-08-15,Charles Johnson vs Eduardo Henrique Da Silva Dos Santos,2026-08-15T23:40:00Z,MiseOJeu,sportsbook,charles johnson,eduardo henrique da silva dos santos,1.8000,2.0000,-125,+100,complete
2026-08-13T18:59:04.564238+00:00,1328612,chidi njokuani|joel alvarez,2026-08-16,Chidi Njokuani vs Joel Alvarez,2026-08-16T00:00:00Z,MiseOJeu,sportsbook,chidi njokuani,joel alvarez,3.4000,1.3100,+240,-323,complete
2026-08-13T18:59:04.564238+00:00,1325835,edson barboza|esteban ribovics,2026-08-16,Edson Barboza vs Esteban Ribovics,2026-08-16T01:00:00Z,MiseOJeu,sportsbook,edson barboza,esteban ribovics,5.5000,1.1600,+450,-625,complete
2026-08-13T18:59:04.564238+00:00,1325834,dustin stoltzfus|mansur abdul malik,2026-08-16,Mansur Abdul-Malik vs Dustin Stoltzfus,2026-08-16T01:20:00Z,MiseOJeu,sportsbook,dustin stoltzfus,mansur abdul malik,5.7500,1.1400,+475,-714,complete
2026-08-13T18:59:04.564238+00:00,1325833,jalin turner|kaue fernandes,2026-08-16,Jalin Turner vs Kaue Fernandes,2026-08-16T01:40:00Z,MiseOJeu,sportsbook,jalin turner,kaue fernandes,1.6500,2.2500,-154,+125,complete
2026-08-13T18:59:04.564238+00:00,1294704,gillian robertson|mackenzie dern,2026-08-16,Mackenzie Dern vs Gillian Robertson,2026-08-16T02:00:00Z,MiseOJeu,sportsbook,gillian robertson,mackenzie dern,2.8000,1.4400,+180,-227,complete
2026-08-13T18:59:04.564238+00:00,1294707,ian garry|islam makhachev,2026-08-16,Islam Makhachev vs Ian Garry,2026-08-16T02:30:00Z,MiseOJeu,sportsbook,ian garry,islam makhachev,3.7500,1.2900,+275,-345,complete
2026-08-13T18:59:04.564238+00:00,1336398,jackson mcvey|wes schultz,2026-08-22,Wes Schultz vs Jackson McVey,2026-08-22T21:40:00Z,MiseOJeu,sportsbook,jackson mcvey,wes schultz,1.5400,2.5000,-185,+150,complete
2026-08-13T18:59:04.564238+00:00,1336153,kennedy nzechukwu|shamil gaziev,2026-08-23,Kennedy Nzechukwu vs Shamil Gaziev,2026-08-23T00:00:00Z,MiseOJeu,sportsbook,kennedy nzechukwu,shamil gaziev,2.0000,1.8000,+100,-125,complete
2026-08-13T18:59:04.564238+00:00,1337248,carli judice|jeisla chaves,2026-08-23,Carli Judice vs Jeisla Chaves,2026-08-23T00:20:00Z,MiseOJeu,sportsbook,carli judice,jeisla chaves,1.2100,4.5000,-476,+350,complete
2026-08-13T18:59:04.564238+00:00,1338324,anthony hernandez|gregory rodrigues,2026-08-23,Anthony Hernandez vs Gregory Rodrigues,2026-08-23T01:20:00Z,MiseOJeu,sportsbook,anthony hernandez,gregory rodrigues,1.5600,2.4500,-179,+145,complete
2026-08-13T18:59:04.564238+00:00,1336850,umar nurmagomedov|yadong song,2026-08-29,Umar Nurmagomedov vs Yadong Song,2026-08-29T11:40:00Z,MiseOJeu,sportsbook,umar nurmagomedov,yadong song,1.2100,4.5000,-476,+350,complete
2026-08-13T18:59:04.564238+00:00,1338292,arman tsarukyan|mauricio ruffy,2026-09-20,Arman Tsarukyan vs Mauricio Ruffy,2026-09-20T01:00:00Z,MiseOJeu,sportsbook,arman tsarukyan,mauricio ruffy,1.2600,3.8500,-385,+285,complete
2026-08-13T18:59:04.564238+00:00,1338291,alexandre pantoja|joshua van,2026-09-20,Joshua Van vs Alexandre Pantoja,2026-09-20T01:00:00Z,MiseOJeu,sportsbook,alexandre pantoja,joshua van,2.0500,1.7800,+105,-128,complete
